"titles","pros","cons","toceo"
"""구성원 간의 관계를 중요시하며, 성과에 대한 평가가 이루어지는 기업문화""","구성원의 행복을 중요시하는 문화가 저변에 깔려있고, 새로운 시도를 위해 노력하는 분위기.","보고서 작업이 은근히 많고, 때로는 수직적인 느낌을 받을 때가 있음.","여러 방면에서 새로운 플랫폼 사업에 대한 노력을 하고 있지만, 새로운 분야라서 그런지 방향을 잘 잡고 있지는 못하는 듯.. CEO님의 인사이트는 매우 뛰어나나 그 아래 임원들까지 전달되는지는 의심스러움"
"""개발 쪽 대우는 그럭저럭 괜찬은 편에 속하는 곳으로 생각됨.""","생각보다 해야하는 일이 조금 많고 눈치 보는 일은 많이 없음","내 자신이 크는 기분은 아님. 성취감이 크게 작용하는 회사은 아님","안일하게 고객뺏기에 열중적인 태도를 보임에따라 일하면서 보람 보다는 호됨만 마니 느낌"
"""대한민국 탑티어에 들어가는 회사임에는 틀림없다. 하지만 10년 후에는 잘 모르겠음""","매니저 문화, 비즈니스 캐쥬얼(운동화 신고 다니는 사람들이 더 많음), 점심회식 등","똑똑한 사람들이 많아서 새로운 업무 추진이 늦음.
누가 A를 하자고 이야기하면, A는 이래서 안되고, 저래서 안되고...
다른 사람이 B를 하자고 이야기하면, B는 이렇고 저렇고.. 결국 안되고
결국 아무것도 안됨","캐쉬카우에 만족하지 말고 새로운 성장동력 찾으시길"
"""엄청난 고객과 캐쉬카우로 월급걱정 없이 다닐 수 있는 회사.""","여유릅고 풍족한 복지. 업계 최상의 근무조건과 월급. 브랜드 파워등 누구나 다니고 싶어하는 기업입니다.","다만 조직이 너무 크고 방대하다보니 의사결정이 느리고 서로 고과챙기기 경쟁등의 문제가 종종 있습니다.","구성원 개개인이 좀 더 발전할 수 있는 환경. 하청보다는 회사 자체 솔루션 개발이 이루어젔으면 합니다."
"""국내 대기업 중 최고. 복지 분위기 연봉 등 전 영역 만족""","비교적 합리적인 분위기이며 휴가도 원하는대로 사용가능함","부서별로 케이스 바이 케이스인 경우가 많은점이 단점이라고 볼 수 있다","공정한 성과보상 체계 필요. 무조건 혁신만을 외치는 것이 답이 아닐 수도"
"""통신업계 최고의 회사. 확실한 복지에 보수지만 그만큼 일을 해야함""","탄탄한 교육 지원 및 자기계발비 지원, 수평적인 문화, 확실한 복지","통신산업은 사양산업임, 성과에 대한 압박 및 경쟁(삼성을 닮아가는 듯)","성과지향적인 분위기 조성을 줄였으면 좋겠고, 인간적인 문화 조성 필요"
"""매니저라는 직급이기 때문에 자유롭게 의견을 낼 수 있는 회사.
신입 사원도 팀장에게 자유롭게 자신의 의견을 낼 수 있음.""","타기업에 비해 우수한 복지와 급여수준이 높음.
자유로운 기업문화가 있기 때문에 편한 복장으로 출근.","MNO사업에서 벗어나 새로운 사업을 시도하고 있지만 큰 성과를 거두지는 못하고 있음.","솔루션 분야에 진출하고 있는데 SK텔레콤만의 독자적인 상품 개발이 필요.
상품 경쟁력을 키우는것이 관건."
"""SKTelecom 본사에서 열심히 목표를 향하여 일할수 있었고 최고의 업계에서 일을 하며 인바운드 상담업무
지식을 매우 높게 습득 하였습니다.""","대기업이기에 자부심을 느낄 수 있었으며, 무엇보다 복지제도가 무척 좋았고 급여 부분도 매우 만족했으며
경조사 휴가 및 가족같은 분위기가 매우 좋았습니다.","고객분들께 무조건 죄송합니다 라는 마인드와 하루 콜량의 부담감","무조건 고객에게 죄송하다는 마인드를 고치고 좀 더 상담원들의 인격을 존중해주는 쪽으로 개선이 되었으면 좋겠습니다."
"""현존하는 최고의 기업이라고 자부합니다. 비교불가 SK맨""","현재는 좀 떨어졌지만 복지와 연봉 업무 등 여전히 국내 최고","일에 대한 처리 기대가 높아 업무가 다소 버거울수 있음","경쟁이 치열하지만 치열함 속에도 직원이 롱런하고 걍쟁에 이길수 있는 환경이 필요해보임"
"""지금은 만족하지만 3년 후에도 만족할지 지속적으로 고민이 되는 회사""","문화가 정말 좋음. 복지 및 연봉은 동년차에서 상당히 높은 수준이라고 생각함.","새로운 서비스를 시도하지만, 과거 대규모 capex 투자를 하던 성향이 있어 쉽지 않음","미래에 대한 비전을 확실하게 가지고 회사를 경영했으면 좋겠습니다. 당장 1년후에 어떤 비전을 가지고 있는지도 모르겠습니다"
"""편한 분위기에서 일 할 수 있음. 다른 기업에 비해 수평적 자유로운 사고.""","분위기가 자유롭고 보수적이지 않음. 높은 연봉과 자유로운 복장. 능력만 있다면 다른 요소들에는 너그러운편.","학벌위주. 자유로운 분위기에 비해 소통을 통한 의견공유도는 낮은 편.","모든 직원에게 다양한 의견을 듣고 수용하는는 것."
"""사람을 극한으로 밀어넣어 결과물을 뽑아낸다는 느낌을 받음 업무강도와 스트레스는 심했지만 연봉과복지가 위로해줌""","복지나 사내문화는 최강인듯 다른회사에비해 이런점은 여유롭다고 생각함","개인 능력위주이므로 경쟁과 성과가 끝없는거같다업무강도도 센편이고","사업확장을 하려하지만 계속 실패하는것같아 아쉬움 새로운 먹거리가 필요한 시점이긴 한둣"
"BEST
""통신업계 최고의 1인자답게 화려한 복지시스템이 가능할 수 있는 인프라로 전반적으로 안정적인 사내 분위기는 맞으나, 실제 속보다 겉에서 보여지는 이미지가 잘 포장되어 있는 것은 확실.""","팀장 아래 매니저 직급으로 통일되어 수평적인 조직 분위기를 추구한다면 만족하며 적응할 수 있음. 그만큼 눈치를 덜 보고 아이디어를 자유롭게 개진할 수 있음.","마케팅 측면에서 점유율에 크게 집착하는 성향이 존재함. 마케팅 방식은 전체적으로 보수적인 성향이 강해서 답답함이 느껴질 수도 있음. 장기고객을 많이 유지해야 하는 압박감에서 크게 벗어나지 못하기 때문으로 사료됨.","다소 경직되어있는 경영 방식을 조금 더 완화하여 혁신하는 방향으로 개선해주었으면. 직원 교육 시스템이 더욱 유연하고 활발하게 작동하게끔 해주었으면."
"""비교적 수평적 문화와 높은 연봉 및 복리후생""","자율성 창의성 강조하는 문화
비교적 수평적이고 자유로운 분위기
높은 연봉 복리후생","높은 업무 강도
신사업 및 해외사업 부진
역삼각형 인력구조","겉으로는 혁신과 창의성 강조하나 실제로는 한국기업의 병패를 가지고 있음 실질적인 변화 필요"
"""최고의 복지, 근무 조건 그러나 지나친 성과주의""","1. 야근 수당이 쎄다.
2. 사원들의 복지 혜택이 우수하다.
3. 최고의 통신사라는 자부심
4. 유연한 사내 분위기","1. 지나친 성과주의
2. 잦은 회식(업무 특성상)
3. 업무와 삶의 균형은 좋진 않음.","새로운 사업방향을 구체적으로 제시해주었으면 좋겠다."
"BEST
""수년간 무선통신분야 1위 사업자로 확실한 BM과 안정적인 cash flow를 보유한 회사. 다만, 새로운 사업이나 시도는 그리 성공적이지 못한 곳.""","저녁이 있는 삶이 있는 곳. 직급이 팀장 이하 모두 매니저로 수평적이고 매우 개인적인 분위기라 눈치보지 않고 퇴근이 가능. 또한 강도높지 않은 업무량에 비해 매우 높은 수준의 연봉과 복지혜택 제공.","현상태 유지가 모토라 새로운 시도나 모험을 좋아하는 사람들에게는 매우 불만족스러울 수 있음. 정치가 심해 실제 일에 집중하는 사람들에게는 고통스러울 수 있는 회사.","새로운 아이디어나 시도에 대해 ROI를 떠지기보다는 좀 더 열린 시각으로 받아들였으면 좋겠습니다."
"""복지와 연봉은 최상급, 그러나 멈춰져있는 기분은 왜일까""","업무 분담 체계가 확실하여 자신만의 분야를 쌓을 수 있음.
근무 환경 및 복장이 자유로우며 편안함","업무 분담 체계가 확실하여 자신만의 분야를 쌓을 수 있지만, 그만큼 다른 분야로 이직하기 어려움
일 잘하는 사람에게 넘쳐나는 일","미래의 10년 후에는 어떻게 될 것인지..? 앞으로의 산업 분야를 창출해야하지 않을까?"
"""높은 급여와 역량있는 직원들이 많이 모여 있고, 서비스마인드를배울수있는곳입니다 마지막으로 인바운드의 최고를 경험수있는곳이라고 생각하네요""","정말 서비스 마인드를 배우기에는 더할나위 없이 좋습니다!
근무환경이 매우 뛰어나며 복리후생적인 부분이 잘되어 있음","잦은 야근과 그리고 고객과 소통을 하면서 알게 모르게 스트레스를 받게 되더라고요","복리후생적인 부분은 정말로 감사했었습니다"
"""누구나 알만하고 들어가고 싶은 기업, 업계 1위라 할 수 있는 기업.""","자기 계발비 , 식대 , 등등 복지가 좋고 자유로운 분위기","비효율적인 업무 시스템, 자유롭지 못한 퇴근.. 업무스트레스","꼰대 문화를 없애고 , 직원들의 의견을 잘 들어 주었으면 좋겠다."
"""최고의 근무환경. 복지. 합리적인 업무프로세스. 체계적인 업무분장.""","회사내에 또라이없음. 일하는데 있어서 대부분 젠틀하고 상식적임. SK인성검사가 효율적인듯..","평가에 대한 스트레스 받는이들 주변에서 종종 봄... 내향적인 사람은 적응하기 힘든 외향성요구","보안에 대한 경계 너무 심하여 노이로제 걸림....."
"""국내 최고의 근무 환경에서 일한 만큼 보상 받을 수 있는 곳, 다만 기존 수익 모델 자체가 너무 안정적이라, 신규 사업 성과에 한계가 있어 보임.""","국내 최고 연봉, 최고 복지, 최고 환경, 최고 기업문화에서 일 할 수 있음.
삼성전자와의 차이는 글로벌 브랜드 유무 차이임.
다른 부분은 오히려 SKT가 더 나아 보임.","마케팅이든 네트워크든 관리 직무가 대두분이라, 본인이 노력 안하면, 대기업 시스템 놀이만 배우게 됨. 인성적으로 훌륭한 구성원들이 대부분이지만, 엘리트 의식 및 문화가 존재해 타 회사(원)에 대해 무시하는 경향이 있음.
(회사 브랜드의 힘이지, 개인의 힘으론 비춰지지 않음..)","구성원들에게 변화와 혁신을 요구하지만, 정작 본인들은 변화와 혁신에 왜 그렇게 관대한지.."
"""개발자가 일하기엔 다른 통신사보단 보수적인면이 적어서 좋은듯하다""","환경도 좋고 기업문화도 나쁘지않아서 쾌적하게 일할수있음","어쩔수없는 야근은 아직 존재는 하는듯하나 전반적으로 자유로운듯","수익성없는모델에 너무 많은 인력을 쏟아붇는듯하다 포기할건 포기하는게 좋을듯"
"""직원들의 혜택이 많은 회사, 통신비 세이브""","직원들의 혜택이 많은 회사, 통신비 세이브 및 여러가지 복지혜택이 있음. 직원들간 분위기가 좋아서 자주 이야기 하는 분위기로 회사 업무가 진행되었음.","시간에 맞춰 바쁘게 움직이는 업무로 인해 스트레스 상승, 통신관련 업무를 하게 되면 하루종일 지역군 사이트만 돌아다니면서 움직여야 하는 업무로 피곤함.","직원들 복지혜택이 조금만 더 상승되었으면 하고, 점심시간에도 여러가지 활동으로 조금 더 친밀하게 다가왔으면 하는 바람"
"""Work & life Balance가 매우 잘 맞는 회사""","동종업계 최고 수준의 연봉 및 복지수준,
Flexible Time제,
SK 계열사가 가진 은근히 많은 혜택,
강권하지 않는 음주문화
무엇보다 중요한 Work & Life Balance","연봉은 개인별로 편차가 심함(조직 및 개인 성과에 따른)
조직마다 분위기 차이가 많이남
최근 SK 그룹의 행보로 인한 미래에 대한 불안감
성장의 정체 등","실적을 높이기 위한 비용 축소도 좋지만 IT기업에 걸맞게 R&D 투자를 더욱 많이 했으면 좋겠음"
